CustomerID,Gender,Age,Annual Income,Spending Score (1-100)
1,1,19,15.0,39
2,1,21,15.0,81
3,0,20,16.0,6
4,0,23,16.0,77
5,0,31,17.0,40
6,0,22,17.0,76
7,0,35,18.0,6
8,0,23,18.0,94
9,1,64,19.0,3
10,0,30,19.0,72
11,1,67,19.0,14
12,0,35,19.0,99
13,0,58,20.0,15
14,0,24,20.0,77
15,1,37,20.0,13
16,1,22,20.0,79
17,0,35,21.0,35
18,1,20,21.0,66
19,1,52,23.0,29
20,0,35,23.0,98
21,1,35,24.0,35
22,1,25,24.0,73
23,0,46,25.0,5
24,1,31,25.0,73
25,0,54,28.0,14
26,1,29,28.0,82
27,0,45,28.0,32
28,1,35,28.0,61
29,0,40,29.0,31
30,0,23,29.0,87
31,1,60,30.0,4
32,0,21,30.0,73
33,1,53,33.0,4
34,1,18,33.0,92
35,0,49,33.0,14
36,0,21,33.0,81
37,0,42,34.0,17
38,0,30,34.0,73
39,0,36,37.0,26
40,0,20,37.0,75
41,0,65,38.0,35
42,1,24,38.0,92
43,1,48,39.0,36
44,0,31,39.0,61
45,0,49,39.0,28
46,0,24,39.0,65
47,0,50,40.0,55
48,0,27,40.0,47
49,0,29,40.0,42
50,0,31,40.0,42
51,0,49,42.0,52
52,1,33,42.0,60
53,0,31,43.0,54
54,1,59,43.0,60
55,0,50,43.0,45
56,1,47,43.0,41
57,0,51,44.0,50
58,1,69,44.0,46
59,0,27,46.0,51
60,1,53,46.0,46
61,1,70,46.0,56
62,1,19,46.0,55
63,0,67,47.0,52
64,0,54,47.0,59
65,1,63,48.0,51
66,1,18,48.0,59
67,0,43,48.0,50
68,0,68,48.0,48
69,1,19,48.0,59
70,0,32,48.0,47
71,1,70,49.0,55
72,0,47,49.0,42
73,0,60,50.0,49
74,0,60,50.0,56
75,1,59,54.0,47
76,1,26,54.0,54
77,0,45,54.0,53
78,1,40,54.0,48
79,0,23,54.0,52
80,0,49,54.0,42
81,1,57,54.0,51
82,1,38,54.0,55
83,1,67,54.0,41
84,0,46,54.0,44
85,0,21,54.0,57
86,1,48,54.0,46
87,0,55,57.0,58
88,0,22,57.0,55
89,0,34,58.0,60
90,0,50,58.0,46
91,0,68,59.0,55
92,1,18,59.0,41
93,1,48,60.0,49
94,0,40,60.0,40
95,0,32,60.0,42
96,1,24,60.0,52
97,0,47,60.0,47
98,0,27,60.0,50
99,1,48,61.0,42
100,1,20,61.0,49
101,0,23,62.0,41
102,0,49,62.0,48
103,1,67,62.0,59
104,1,26,62.0,55
105,1,49,62.0,56
106,0,21,62.0,42
107,0,66,63.0,50
108,1,54,63.0,46
109,1,68,63.0,43
110,1,66,63.0,48
111,1,65,63.0,52
112,0,19,63.0,54
113,0,38,64.0,42
114,1,19,64.0,46
115,0,18,65.0,48
116,0,19,65.0,50
117,0,63,65.0,43
118,0,49,65.0,59
119,0,51,67.0,43
120,0,50,67.0,57
121,1,27,67.0,56
122,0,38,67.0,40
123,0,40,69.0,58
124,1,39,69.0,91
125,0,23,70.0,29
126,0,31,70.0,77
127,1,43,71.0,35
128,1,40,71.0,95
129,1,59,71.0,11
130,1,38,71.0,75
131,1,47,71.0,9
132,1,39,71.0,75
133,0,25,72.0,34
134,0,31,72.0,71
135,1,20,73.0,5
136,0,29,73.0,88
137,0,44,73.0,7
138,1,32,73.0,73
139,1,19,74.0,10
140,0,35,74.0,72
141,0,57,75.0,5
142,1,32,75.0,93
143,0,28,76.0,40
144,0,32,76.0,87
145,1,25,77.0,12
146,1,28,77.0,97
147,1,48,77.0,36
148,0,32,77.0,74
149,0,34,78.0,22
150,1,34,78.0,90
151,1,43,78.0,17
152,1,39,78.0,88
153,0,44,78.0,20
154,0,38,78.0,76
155,0,47,78.0,16
156,0,27,78.0,89
157,1,37,78.0,1
158,0,30,78.0,78
159,1,34,78.0,1
160,0,30,78.0,73
161,0,56,79.0,35
162,0,29,79.0,83
163,1,19,81.0,5
164,0,31,81.0,93
165,1,50,85.0,26
166,0,36,85.0,75
167,1,42,86.0,20
168,0,33,86.0,95
169,0,36,87.0,27
170,1,32,87.0,63
171,1,40,87.0,13
172,1,28,87.0,75
173,1,36,87.0,10
174,1,36,87.0,92
175,0,52,88.0,13
176,0,30,88.0,86
177,1,58,88.0,15
178,1,27,88.0,69
179,1,59,93.0,14
180,1,35,93.0,90
181,0,37,97.0,32
182,0,32,97.0,86
183,1,46,98.0,15
184,0,29,98.0,88
185,0,41,99.0,39
186,1,30,99.0,97
187,0,54,101.0,24
188,1,28,101.0,68
189,0,41,103.0,17
190,0,36,103.0,85
191,0,34,103.0,23
192,0,32,103.0,69
193,1,33,113.0,8
194,0,38,113.0,91
195,0,47,120.0,16
196,0,35,120.0,79
197,0,45,126.0,28
198,1,32,126.0,74
199,1,32,137.0,18
200,1,30,137.0,83
